IFC_Floor_MaterialFraction,,,
Type,Material: Name,Default Thickness
,,
ARC_PH00_FLO_FF1_CeramicFlooring,_MAT_PH00_CERAMIC_CeramicFlooringTiles,0.04
ARC_PH01_FLO_F1_InsulationXPS_40,_MAT_PH01_INSULATION_XPS,0.10
ARC_PH01_FLO_FF1_CeramicFlooring_Core,_MAT_PH01_CERAMIC_CeramicFlooringTiles,0.04
ARQ_PH00_FLO_FF3_WoodenPavement,_MAT_PH00_WOOD_WoodPavement,0.04
STR_PH00_FLO_SF1_GroundConcreteOneDirection_250,_MAT_PH00_CONCRETE_OneDirectionSlab_Ceramic,0.25
STR_PH00_FLO_SF1_GroundConcreteOneDirectionCore_250,_MAT_PH00_CONCRETE_ReinforcedConcrete_Slab,0.20
STR_PH00_FLO_SF3_ConcreteSlab_160mm,_MAT_PH00_CONCRETE_ReinforcedConcrete_Slab,0.16
STR_PH01_FLO_S3.1_ConcreteSlabExtension_160mm,_MAT_PH01_CONCRETE_ReinforcedConcrete_Slab,0.16
STR_PH01_FLO_SF1_CompositeMetalDeckSlab_120,_MAT_PH01_CONCRETE_ReinforcedConcrete_Slab,0.12
STR_PH01_FLO_SF1_CompositeMetalDeckSlab_120,_MAT_PH01_METAL_GalvanizedSteel,0.12
STR_PH01_FLO_SF1_CompositeMetalDeckSlab_150,_MAT_PH01_CONCRETE_ReinforcedConcrete_Slab,0.15
STR_PH01_FLO_SF1_CompositeMetalDeckSlab_150,_MAT_PH01_METAL_GalvanizedSteel,0.15
